Label,Cluster,Color,PassOne,PassOneCol
Marseille.FRA/37.18/3/D8,0,#e6194B,0,#e6194B
Marseille.FRA/34.18/1/D8,0,#e6194B,0,#e6194B
Marseille.FRA/36.18/1/D8,0,#e6194B,0,#e6194B
Marseille.FRA/37.18/1/D8,0,#e6194B,0,#e6194B
Marseille.FRA/37.18/2/D8,0,#e6194B,0,#e6194B
Marseille.FRA/38.18/1/D8,0,#e6194B,0,#e6194B
Tours.FRA/49.18.B3...MIBE.,1.0,#3cb44b,1,#3cb44b
Manchester.GBR/30.13/D8,2,#ffe119,2,#ffe119
Coventry.GBR/42.12/2/D8,2,#ffe119,2,#ffe119
Coventry.GBR/40.12/D8,2,#ffe119,2,#ffe119
London.GBR/21.13/D8,2,#ffe119,2,#ffe119
London.GBR/20.13/2/D8,2,#ffe119,2,#ffe119
Crewe.GBR/46.12/D8,2,#ffe119,2,#ffe119
Exeter.GBR/52.12/D8,2,#ffe119,2,#ffe119
Swansea.GBR/16.13/5/D8,2,#ffe119,2,#ffe119
Swansea.GBR/9.13/D8,2,#ffe119,2,#ffe119
Swansea.GBR/13.13/4/D8,2,#ffe119,2,#ffe119
Swansea.GBR/10.13/D8,2,#ffe119,2,#ffe119
Swansea.GBR/16.13/2/D8,2,#ffe119,2,#ffe119
Swansea.GBR/17.13/9/D8,2,#ffe119,2,#ffe119
Taunton.GBR/15.13/D8,2,#ffe119,2,#ffe119
Swansea.GBR/14.13/4/D8,2,#ffe119,2,#ffe119
Swansea.GBR/15.13/D8,2,#ffe119,2,#ffe119
New.Jersey.USA/45.05,3.0,#4363d8,3,#4363d8
Marseille.FRA/15.19/2/D8,4,#f58231,4,#f58231
Marseille.FRA/20.19/4/D8,4,#f58231,4,#f58231
Marseille.FRA/19.19/4/D8,4,#f58231,4,#f58231
Marseille.FRA/19.19/6/D8,4,#f58231,4,#f58231
Marseille.FRA/27.19/5/D8,4,#f58231,4,#f58231
Marseille.FRA/29.19/3/D8,4,#f58231,4,#f58231
Marseille.FRA/21.19/4/D8,4,#f58231,4,#f58231
Marseille.FRA/22.19/1/D8,4,#f58231,4,#f58231
Marseille.FRA/20.19/2/D8,4,#f58231,4,#f58231
Marseille.FRA/28.19/1/D8,4,#f58231,4,#f58231
Marseille.FRA/23.19/5/D8,4,#f58231,4,#f58231
Marseille.FRA/27.19/3/D8,4,#f58231,4,#f58231
Marseille.FRA/29.19/1/D8,4,#f58231,4,#f58231
Marseille.FRA/28.19/2/D8,4,#f58231,4,#f58231
Marseille.FRA/27.19/2/D8,4,#f58231,4,#f58231
Marseille.FRA/27.19/1/D8,4,#f58231,4,#f58231
Marseille.FRA/19.19/16/D8,4,#f58231,4,#f58231
Marseille.FRA/21.19/15/D8,4,#f58231,4,#f58231
Marseille.FRA/28.19/3/D8,4,#f58231,4,#f58231
Marseille.FRA/26.19/2/D8,4,#f58231,4,#f58231
Marseille.FRA/12.18/1/D8,5.0,#ba3fdf,5,#ba3fdf
Zhoushan.CHN/09.19/D8,6.0,#42d4f4,6,#42d4f4
Villupuram.Ind/03.07/D8,7.0,#bfef45,7,#bfef45
IMB-1,8,#fabed4,8,#fabed4
Zhejiang.CHN/12.06/2/H1,8,#fabed4,8,#fabed4
Zhejiang.CHN/14.07/1/H1,8,#fabed4,8,#fabed4
Zhuhai.CHN/10.17/2/H1,8,#fabed4,8,#fabed4
Zhejiang.CHN/10.05/1/H1,8,#fabed4,8,#fabed4
Daegu.KOR/20.27/3/H1,8,#fabed4,8,#fabed4
Zhejiang.CHN/12.09/1/H1,8,#fabed4,8,#fabed4
Pennsylvania.USA/20.09,8,#fabed4,8,#fabed4
Zhejiang.CHN/16.10/2/H1,8,#fabed4,8,#fabed4
Zhejiang.CHN/10.11/2/H1,8,#fabed4,8,#fabed4
Guizhou.CHN/29.13/H1,8,#fabed4,8,#fabed4
Zhejiang.CHN/12.08/1/H1,8,#fabed4,8,#fabed4
BritishColumbia.CAN/12.10/1/H1,8,#fabed4,8,#fabed4
Incheon.KOR/25.10/8/H1,8,#fabed4,8,#fabed4
Marseille.FRA/27.19/4/D8,9,#469990,9,#469990
Marseille.FRA/29.19/4/D8,9,#469990,9,#469990
Marseille.FRA/29.19/6/D8,9,#469990,9,#469990
Marseille.FRA/29.19/5/D8,9,#469990,9,#469990
Marseille.FRA/29.19/2/D8,9,#469990,9,#469990
Marseille.FRA/30.19/1/D8,9,#469990,9,#469990
Marseille.FRA/31.19/1/D8,9,#469990,9,#469990
Wajir.South.KEN/07.20/2/B3,10,#dcbeff,10,#dcbeff
Galole.KEN/06.20/B3,10,#dcbeff,10,#dcbeff
Wajir.South.KEN/07.20/1/B3,10,#dcbeff,10,#dcbeff
Bura.KEN/06.20/2/B3,10,#dcbeff,10,#dcbeff
Bura.KEN/07.20/B3,10,#dcbeff,10,#dcbeff
Bura.KEN/06.20/1/B3,10,#dcbeff,10,#dcbeff
Jamnagar.IND/4.17/1/D4,11,#9A6324,11,#9A6324
Pune.IND/16.14/D4,11,#9A6324,11,#9A6324
Perambalur.Ind/17.07/D4,11,#9A6324,11,#9A6324
Treviso.ITA/03.10/1/D4,11,#9A6324,11,#9A6324
Florida.USA/19.09,11,#9A6324,11,#9A6324
New.York.USA/26.09/3,11,#9A6324,11,#9A6324
Paris.FRA/18.11/D4,11,#9A6324,11,#9A6324
Ontario.CAN/4.15/12/D4,11,#9A6324,11,#9A6324
London.GBR/19.11/5/D4,11,#9A6324,11,#9A6324
London.GBR/20.11/2/D4,11,#9A6324,11,#9A6324
California.USA/47.13/D4,11,#9A6324,11,#9A6324
Brighton.GBR/49.11/D4,11,#9A6324,11,#9A6324
Brighton.GBR/12.12/7/D4,11,#9A6324,11,#9A6324
London.GBR/20.12/D4,11,#9A6324,11,#9A6324
California.USA/16.12/D4,11,#9A6324,11,#9A6324
California.USA/16.03,12.0,#b3a400,12,#b3a400
Haridwar.IND/06.14/3/D8,13,#800000,13,#800000
Haridwar.IND/06.14/2/D8,13,#800000,13,#800000
Anand.IND/33.15/2/D8,13,#800000,13,#800000
Kutch.IND/06.15/D8,13,#800000,13,#800000
London.GBR/28.12/D8,13,#800000,13,#800000
Muenchen.DEU/19.13/D8,13,#800000,13,#800000
DongThap.VNM/08.14/D8,13,#800000,13,#800000
DongThap.VNM/06.14/D8,13,#800000,13,#800000
DongThap.VNM/06.14/2/D8,13,#800000,13,#800000
DongThap.VNM/05.14/D8,13,#800000,13,#800000
